id;start_date;end_date;language
1;2023-05-14T18:39:01;2023-05-14T16:29:16;ENGLISH
2;2023-05-14T04:06:36;2023-05-14T13:32:05;FRENCH
3;2023-05-14T14:02:48;2023-05-14T02:07:56;SPANISH
4;2023-05-14T18:33:37;2023-05-13T23:59:56;FRENCH
5;2023-05-14T20:50:00;2023-05-14T05:08:58;ENGLISH
6;2023-05-14T06:20:43;2023-05-14T20:21:03;SPANISH
7;2023-05-14T14:24:31;2023-05-14T00:58:40;FRENCH
8;2023-05-14T04:50:24;2023-05-14T01:26:13;FRENCH
9;2023-05-14T05:42:02;2023-05-14T17:13:28;FRENCH
10;2023-05-14T01:39:00;2023-05-14T18:36:29;FRENCH
